DNA_LANGUAGE_STRAND=FLAME_SAGCO | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_DOJO | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_DOLLAR | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_HASH | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_MKDIR | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_ECHO | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_PORTFOLIO | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_BRICK | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_ERROR | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_RUST | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_WING | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_DEPLOY | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_FLAME | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_TOKEN | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_LEXICON | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_SCAFFOLD | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_ANTIBODY | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_PIPELINE | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_WAFER | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_FREQUENCY | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_CIRCLE | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_THESAURUS | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_DICTIONARY | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_BIBLIOGRAPHY | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_TRANSISTOR | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_CLOUD | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_LINEAGE | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_EXCAVATE | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_KNOWLEDGE | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_DNA | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_UNITY | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_EPIC | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_BLUESCRIPT | STATUS=SOFTWARE_UPDATE_SEED
DNA_LANGUAGE_STRAND=FLAME_STRAND | STATUS=SOFTWARE_UPDATE_SEED
