TOKEN=FLAME_SAGCO | WORD=sagco | RUST_CALL=sagco_core_token | WEIGHT=14
TOKEN=FLAME_DOJO | WORD=dojo | RUST_CALL=dojo_node | WEIGHT=14
TOKEN=FLAME_DOLLAR | WORD=dollar | RUST_CALL=shell_variable_token | WEIGHT=12
TOKEN=FLAME_HASH | WORD=hash | RUST_CALL=comment_header_token | WEIGHT=11
TOKEN=FLAME_MKDIR | WORD=mkdir | RUST_CALL=directory_builder | WEIGHT=10
TOKEN=FLAME_ECHO | WORD=echo | RUST_CALL=output_emitter | WEIGHT=9
TOKEN=FLAME_PORTFOLIO | WORD=portfolio | RUST_CALL=portfolio_record | WEIGHT=9
TOKEN=FLAME_BRICK | WORD=brick | RUST_CALL=brick_registry | WEIGHT=8
TOKEN=FLAME_ERROR | WORD=error | RUST_CALL=error_handler | WEIGHT=6
TOKEN=FLAME_RUST | WORD=rust | RUST_CALL=rust_compiler | WEIGHT=6
TOKEN=FLAME_WING | WORD=wing | RUST_CALL=wing_scanner | WEIGHT=5
TOKEN=FLAME_DEPLOY | WORD=deploy | RUST_CALL=cloud_deploy | WEIGHT=5
TOKEN=FLAME_FLAME | WORD=flame | RUST_CALL=flame_engine | WEIGHT=5
TOKEN=FLAME_TOKEN | WORD=token | RUST_CALL=token_classifier | WEIGHT=5
TOKEN=FLAME_LEXICON | WORD=lexicon | RUST_CALL=lexicon_builder | WEIGHT=4
TOKEN=FLAME_SCAFFOLD | WORD=scaffold | RUST_CALL=scaffold_generator | WEIGHT=4
TOKEN=FLAME_ANTIBODY | WORD=antibody | RUST_CALL=antibody_healer | WEIGHT=4
TOKEN=FLAME_PIPELINE | WORD=pipeline | RUST_CALL=pipeline_executor | WEIGHT=4
TOKEN=FLAME_WAFER | WORD=wafer | RUST_CALL=wafer_processor | WEIGHT=3
TOKEN=FLAME_FREQUENCY | WORD=frequency | RUST_CALL=frequency_generator | WEIGHT=3
TOKEN=FLAME_CIRCLE | WORD=circle | RUST_CALL=circle_engine | WEIGHT=3
TOKEN=FLAME_THESAURUS | WORD=thesaurus | RUST_CALL=thesaurus_lookup | WEIGHT=3
TOKEN=FLAME_DICTIONARY | WORD=dictionary | RUST_CALL=dictionary_lookup | WEIGHT=3
TOKEN=FLAME_BIBLIOGRAPHY | WORD=bibliography | RUST_CALL=bibliography_index | WEIGHT=2
TOKEN=FLAME_TRANSISTOR | WORD=transistor | RUST_CALL=transistor_bias | WEIGHT=2
TOKEN=FLAME_CLOUD | WORD=cloud | RUST_CALL=cloud_runner | WEIGHT=2
TOKEN=FLAME_LINEAGE | WORD=lineage | RUST_CALL=lineage_tracer | WEIGHT=2
TOKEN=FLAME_EXCAVATE | WORD=excavate | RUST_CALL=excavate_scanner | WEIGHT=2
TOKEN=FLAME_KNOWLEDGE | WORD=knowledge | RUST_CALL=knowledge_compiler | WEIGHT=2
TOKEN=FLAME_DNA | WORD=dna | RUST_CALL=dna_strand_encoder | WEIGHT=1
TOKEN=FLAME_UNITY | WORD=unity | RUST_CALL=unity_signal_emitter | WEIGHT=1
TOKEN=FLAME_EPIC | WORD=epic | RUST_CALL=epic_signal_emitter | WEIGHT=1
TOKEN=FLAME_BLUESCRIPT | WORD=bluescript | RUST_CALL=bluescript_node | WEIGHT=1
TOKEN=FLAME_STRAND | WORD=strand | RUST_CALL=strand_builder | WEIGHT=1
