  PID TTY          TIME CMD
    1 ?        00:00:01 process_api
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 pool_workqueue_release
    4 ?        00:00:00 kworker/R-rcu_gp
    5 ?        00:00:00 kworker/R-sync_wq
    6 ?        00:00:00 kworker/R-kvfree_rcu_reclaim
    7 ?        00:00:00 kworker/R-slub_flushwq
    8 ?        00:00:00 kworker/R-netns
    9 ?        00:00:00 kworker/0:0-events
   10 ?        00:00:00 kworker/0:0H-kblockd
   11 ?        00:00:00 kworker/0:1-events
   12 ?        00:00:09 kworker/u16:0-kvfree_rcu_reclaim
   13 ?        00:00:00 kworker/R-mm_percpu_wq
   14 ?        00:00:00 ksoftirqd/0
   15 ?        00:00:00 rcu_preempt
   16 ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
   17 ?        00:00:00 rcu_exp_gp_kthread_worker
   18 ?        00:00:00 migration/0
   19 ?        00:00:00 cpuhp/0
   20 ?        00:00:00 cpuhp/1
   21 ?        00:00:08 migration/1
   22 ?        00:00:00 ksoftirqd/1
   23 ?        00:00:00 kworker/1:0-mm_percpu_wq
   24 ?        00:00:00 kworker/1:0H-kblockd
   25 ?        00:00:00 cpuhp/2
   26 ?        00:00:08 migration/2
   27 ?        00:00:00 ksoftirqd/2
   28 ?        00:00:00 kworker/2:0-events
   29 ?        00:00:00 kworker/2:0H-kblockd
   30 ?        00:00:00 cpuhp/3
   31 ?        00:00:08 migration/3
   32 ?        00:00:00 ksoftirqd/3
   33 ?        00:00:00 kworker/3:0-mm_percpu_wq
   34 ?        00:00:00 kworker/3:0H-kblockd
   36 ?        00:00:07 kworker/u16:1-events_unbound
   39 ?        00:00:00 kworker/u16:4-flush-254:0
   40 ?        00:00:00 kdevtmpfs
   41 ?        00:00:00 kworker/R-inet_frag_wq
   42 ?        00:00:00 rcu_tasks_kthread
   43 ?        00:00:00 rcu_tasks_trace_kthread
   44 ?        00:00:00 kauditd
   45 ?        00:00:00 khungtaskd
   46 ?        00:00:00 oom_reaper
   47 ?        00:00:00 kworker/R-writeback
   48 ?        00:00:00 kcompactd0
   49 ?        00:00:00 kworker/3:1-events
   50 ?        00:00:00 ksmd
   51 ?        00:00:00 kworker/1:1-events
   52 ?        00:00:00 khugepaged
   53 ?        00:00:00 kworker/R-kblockd
   54 ?        00:00:00 kworker/R-kintegrityd
   55 ?        00:00:00 watchdogd
   56 ?        00:00:00 kworker/R-quota_events_unbound
   57 ?        00:00:00 kworker/R-rpciod
   58 ?        00:00:00 kworker/1:1H
   59 ?        00:00:00 kworker/R-xprtiod
   64 ?        00:00:00 kworker/2:1-events
   88 ?        00:00:00 kswapd0
   91 ?        00:00:00 kworker/R-nfsiod
   94 ?        00:00:00 kworker/R-xfsalloc
   95 ?        00:00:00 kworker/R-xfs_mru_cache
   97 ?        00:00:00 kworker/R-kthrotld
   99 ?        00:00:00 irq/24-ACPI:Ged
  100 ?        00:00:00 irq/25-ACPI:Ged
  146 ?        00:00:00 hwrng
  190 ?        00:00:00 kworker/R-iscsi_conn_cleanup
  211 ?        00:00:00 kworker/R-kstrp
  511 ?        00:00:00 kworker/u17:0
  523 ?        00:00:00 kworker/R-ext4-rsv-conversion
  524 ?        00:00:00 kworker/3:1H-kblockd
  526 ?        00:00:00 kworker/2:1H-kblockd
  527 ?        00:00:00 sh
  528 ?        00:00:00 kworker/0:1H-kblockd
  532 ?        00:00:02 environment-man
  544 ?        00:00:23 claude
 9340 ?        00:00:00 bash
 9711 ?        00:00:00 sagco-htop
 9713 ?        00:00:00 ps
