case,timestamp,stage,result,note
C1602_CASE_001,2026-06-05T03:32:08Z,FLEET,PASS,7/9 nodes ACTIVE
C1602_CASE_001,2026-06-05T03:32:08Z,PRIMARY_DISK,PASS,Samsung 990 Pro — ACTIVE
C1602_CASE_001,2026-06-05T03:32:08Z,GENESIS_DISK,PASS,Origin OS disk — ANCESTOR_ACTIVE
C1602_CASE_001,2026-06-05T03:32:08Z,GALAXY_FOLD,PASS,Phone Link node ACTIVE
C1602_CASE_001,2026-06-05T03:32:08Z,IPAD_NODE,PASS,iSH terminal node ACTIVE
C1602_CASE_001,2026-06-05T03:32:08Z,DOCKER,WARN,daemon accessible but 0 containers running
C1602_CASE_001,2026-06-05T03:32:08Z,KUBERNETES,WARN,not accessible from this node
C1602_CASE_001,2026-06-05T03:32:08Z,BRICKS,PASS,26 manifested
C1602_CASE_001,2026-06-05T03:32:08Z,TRANSLATIONS,PASS,19 registered
C1602_CASE_001,2026-06-05T03:32:08Z,ANTIBODIES,PASS,14 in archive
C1602_CASE_001,2026-06-05T03:32:08Z,COMPUTE_LAW,PASS,35 COMPUTABLE  2 MYTHOLOGY
C1602_CASE_001,2026-06-05T03:32:08Z,RCA_PROJECTOR,PASS,Command Wall ACTIVE — dashboard available
C1602_CASE_001,2026-06-05T03:32:08Z,GOVERNANCE,PASS,SAGCO=PRIMARY  Windows=Department(INFRASTRUCTURE)
C1602_CASE_001,2026-06-05T03:32:08Z,BOOT_COMPLETE,NOMINAL,pass=11_warn=2_fail=0
