claim_id,check_type,check_value,expected,actual,pass,timestamp
CLM_001,file_exists,sagco_ish/shared_state/logs/state_updates.csv,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_001,grep_match,sagco_ish/shared_state/logs/state_updates.csv:IPAD_NODE,YES,NOT_FOUND,NO,2026-06-04T22:25:16Z
CLM_001,grep_match,sagco_ish/shared_state/logs/state_updates.csv:ZFOLD_NODE,YES,NOT_FOUND,NO,2026-06-04T22:25:16Z
CLM_001,grep_match,sagco_ish/shared_state/logs/state_updates.csv:ISH_NODE,YES,NOT_FOUND,NO,2026-06-04T22:25:16Z
CLM_002,file_exists,sagco_ish/shared_state/cases/C1602_CASE_001.json,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_002,count_gte,sagco_ish/shared_state/logs/state_updates.csv:C1602_CASE_001,3,COUNT_45,YES,2026-06-04T22:25:16Z
CLM_003,file_exists,sagco_ish/governance/logs/governance_register.csv,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_003,grep_match,sagco_ish/governance/logs/governance_register.csv:GOVERNANCE_INGESTED,YES,FOUND_1,YES,2026-06-04T22:25:16Z
CLM_003,grep_match,sagco_ish/governance/logs/governance_register.csv:POST_REDACT_HASH,YES,FOUND_2,YES,2026-06-04T22:25:16Z
CLM_004,file_exists,sagco_ish/health/bin/sagco-health,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_004,state_check,C1602_CASE_001:HEALTH_NODE,YES,NODE_NEVER_SEEN,NO,2026-06-04T22:25:16Z
CLM_004,grep_match,sagco_ish/registry/logs/command_registry.csv:sagco-health,YES,FOUND_1,YES,2026-06-04T22:25:16Z
CLM_005,file_exists,sagco_ish/deps/data/deps.csv,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_005,count_gte,sagco_ish/deps/data/deps.csv:run-alpha,1,COUNT_10,YES,2026-06-04T22:25:16Z
CLM_006,file_exists,sagco_ish/lineage/citations/citations.csv,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_006,count_gte,sagco_ish/lineage/citations/citations.csv:SAGCO,1,COUNT_0,NO,2026-06-04T22:25:16Z
CLM_006,count_gte,sagco_ish/lineage/prior_art/prior_art.csv:commercial,1,COUNT_2,YES,2026-06-04T22:25:16Z
CLM_007,file_exists,sagco_ish/wafer/logs/wafer_eru.csv,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_007,grep_match,sagco_ish/wafer/logs/wafer_eru.csv:WAFER_GREEN,YES,FOUND_1,YES,2026-06-04T22:25:16Z
CLM_007,grep_match,sagco_ish/wafer/logs/wafer_eru.csv:WAFER_VARIANCE_ALERT,YES,FOUND_2,YES,2026-06-04T22:25:16Z
CLM_008,file_exists,sagco_ish/hallucheck/logs/hallucheck_eru.csv,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_008,grep_match,sagco_ish/hallucheck/logs/hallucheck_eru.csv:GREEN,YES,FOUND_2,YES,2026-06-04T22:25:16Z
CLM_008,grep_match,sagco_ish/hallucheck/logs/hallucheck_eru.csv:100.00,YES,FOUND_2,YES,2026-06-04T22:25:16Z
CLM_009,file_exists,sagco_ish/redact/logs/redact_audit.csv,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_009,grep_match,sagco_ish/redact/logs/redact_audit.csv:REDACT_CLEAN,YES,FOUND_5,YES,2026-06-04T22:25:16Z
CLM_009,file_exists,sagco_ish/public/site/index_redacted.html,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_010,file_exists,sagco_ish/deploy/pages_package/index.html,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_010,file_exists,sagco_ish/deploy/pages_package/README.md,YES,EXISTS,YES,2026-06-04T22:25:16Z
CLM_010,grep_match,sagco_ish/deploy/logs/verify_eru.csv:OVERALL=GREEN,YES,NOT_FOUND,NO,2026-06-04T22:25:16Z
CLM_011,manual,Discord_bot_execution_logs,UNPROVEN,UNPROVEN,NO,2026-06-04T22:25:16Z
CLM_011,file_exists,sagco_ish/bridge/logs/bridge_relay.csv,YES,EXISTS,YES,2026-06-04T22:25:17Z
CLM_012,file_exists,sagco_ish/scheduler,YES,EXISTS,YES,2026-06-04T22:25:17Z
CLM_012,file_exists,sagco_ish/runtime,YES,EXISTS,YES,2026-06-04T22:25:17Z
CLM_012,file_exists,sagco_ish/shared_state,YES,EXISTS,YES,2026-06-04T22:25:17Z
CLM_012,file_exists,sagco_ish/deploy,YES,EXISTS,YES,2026-06-04T22:25:17Z
CLM_012,grep_match,sagco_ish/registry/logs/command_registry.csv:sagco-run-alpha,YES,FOUND_1,YES,2026-06-04T22:25:17Z
