claim_id,label,total_checks,passed,score,status,timestamp
CLM_001,LOCAL_MULTI_NODE_RUNTIME,4,4,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_002,STATE_MESH,2,2,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_003,EVIDENCE_REGISTRY,3,3,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_004,RUNTIME_HEALTH,3,3,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_005,DEPENDENCY_MAPPING,2,2,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_006,KNOWLEDGE_LINEAGE,3,2,66.67,PARTIAL,2026-06-04T22:25:19Z
CLM_007,ERU_VARIANCE_ENGINE,3,3,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_008,HALLUCINATION_DETECTION,3,3,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_009,PII_REDACTION,3,3,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_010,PUBLIC_PROOF_PAGE,3,3,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_011,DISCORD_DEVOPS_PLANE,2,1,50.00,PARTIAL,2026-06-04T22:25:19Z
CLM_012,SOVEREIGN_AI_OS,5,5,100.00,PROVEN,2026-06-04T22:25:19Z
CLM_001,LOCAL_MULTI_NODE_RUNTIME,4,1,25.00,UNPROVEN,2026-06-04T22:26:49Z
CLM_002,STATE_MESH,2,2,100.00,PROVEN,2026-06-04T22:26:49Z
CLM_003,EVIDENCE_REGISTRY,3,3,100.00,PROVEN,2026-06-04T22:26:49Z
CLM_004,RUNTIME_HEALTH,3,2,66.67,PARTIAL,2026-06-04T22:26:49Z
CLM_005,DEPENDENCY_MAPPING,2,2,100.00,PROVEN,2026-06-04T22:26:49Z
CLM_006,KNOWLEDGE_LINEAGE,3,2,66.67,PARTIAL,2026-06-04T22:26:49Z
CLM_007,ERU_VARIANCE_ENGINE,3,3,100.00,PROVEN,2026-06-04T22:26:49Z
CLM_008,HALLUCINATION_DETECTION,3,3,100.00,PROVEN,2026-06-04T22:26:49Z
CLM_009,PII_REDACTION,3,3,100.00,PROVEN,2026-06-04T22:26:49Z
CLM_010,PUBLIC_PROOF_PAGE,3,2,66.67,PARTIAL,2026-06-04T22:26:49Z
CLM_011,DISCORD_DEVOPS_PLANE,2,1,50.00,PARTIAL,2026-06-04T22:26:49Z
CLM_012,SOVEREIGN_AI_OS,5,5,100.00,PROVEN,2026-06-04T22:26:49Z
