case,claim,expected,actual,variance,status,timestamp
C1602_CASE_001,SAGCO_MIDI_generates_audible_events_from_runtime_logs,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:34:12Z
C1602_CASE_001,constitution_12_commandments_upheld,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:34:19Z
C1602_CASE_001,sagco-pro-review_binary_exists,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:34:19Z
C1602_CASE_001,chapter_one_library_file_exists,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:34:19Z
C1602_CASE_001,evolution_ledger_produces_key_and_mood,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:34:19Z
C1602_CASE_001,Claim_1_Translation_Engine_queryable_registry_11_terms,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:45:08Z
C1602_CASE_001,Claim_2_Adaptation_Lineage_CAER_weights_and_CURRENT_KEY,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:45:08Z
C1602_CASE_001,Claim_3_MIDI_sonification_daemon_telemetry_to_musical_events,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:45:08Z
C1602_CASE_001,Claim_4_cross_device_evidence_transport_LAN_translation,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:45:08Z
C1602_CASE_001,selftest,COMPUTABLE,MYTHOLOGY,-1.0,ALERT,2026-06-05T00:48:19Z
C1602_CASE_001,INV-008_survival_rule_itself_computes,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:48:19Z
C1602_CASE_001,trial_TRIAL_001_A,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_B,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_C,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_D,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_E,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_F,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_002_A,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_B,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_C,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_D,COMPUTABLE,MYTHOLOGY,-1.0,ALERT,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_E,COMPUTABLE,COMPUTABLE,0.0,GREEN,2026-06-05T00:53:19Z
