case_id,token_type,expected_value,actual_value,timestamp
C1602_CASE_001,ORIENTATION,108E,106E,2026-06-04T10:00:00Z
C1602_CASE_001,ORIENTATION,108E,108E,2026-06-04T10:01:00Z
C1602_CASE_001,ORIENTATION,090N,092N,2026-06-04T10:02:00Z
C1602_CASE_001,ORIENTATION,090N,090N,2026-06-04T10:03:00Z
C1602_CASE_001,ORIENTATION,270W,270W,2026-06-04T10:04:00Z
C1602_CASE_001,PIC,PIC1,PIC1,2026-06-04T10:05:00Z
C1602_CASE_001,PIC,PIC2,PIC2,2026-06-04T10:06:00Z
C1602_CASE_001,PIC,PIC3,PIC3,2026-06-04T10:07:00Z
C1602_CASE_001,PIC,PIC4,PIC4,2026-06-04T10:08:00Z
C1602_CASE_001,PIC,PIC5,PIC7,2026-06-04T10:09:00Z
C1602_CASE_001,WTS,WTS11,WTS11,2026-06-04T10:10:00Z
C1602_CASE_001,WTS,WTS11,WTS11,2026-06-04T10:11:00Z
C1602_CASE_001,WTS,WTS12,WTS12,2026-06-04T10:12:00Z
C1602_CASE_001,WTS,WTS12,WTS11,2026-06-04T10:13:00Z
C1602_CASE_001,WTS,WTS13,WTS13,2026-06-04T10:14:00Z
C1602_CASE_001,FR,FR-32,FR-32,2026-06-04T10:15:00Z
C1602_CASE_001,FR,FR-33,FR-33,2026-06-04T10:16:00Z
C1602_CASE_001,FR,FR-35,FR-35,2026-06-04T10:17:00Z
C1602_CASE_001,FR,FR-37,FR-37,2026-06-04T10:18:00Z
C1602_CASE_001,FR,FR-41,FR-41,2026-06-04T10:19:00Z
