case,brick,creation,adaptation,dependency,eru,survival,novelty,total,tier,timestamp
C1602_CASE_001,sagco-link-bridge,10,3,0,76,42,40,171,FULL_FLEET,2026-06-05T00:53:01Z
C1602_CASE_001,sagco-compute-law,10,11,0,76,42,40,179,FULL_FLEET,2026-06-05T00:53:01Z
C1602_CASE_001,sagco-link-bridge,10,11,0,0,2,40,63,PATENT_REVIEW,2026-06-05T00:57:17Z
C1602_CASE_001,sagco-translate,0,21,0,0,14,40,75,PATENT_REVIEW,2026-06-05T00:57:18Z
C1602_CASE_001,sagco-compute-law,10,19,0,0,2,40,71,PATENT_REVIEW,2026-06-05T00:57:19Z
C1602_CASE_001,sagco-state,10,8,12,0,0,0,30,TECHNICAL_REVIEW,2026-06-05T00:57:48Z
C1602_CASE_001,sagco-midi,10,6,0,0,4,40,60,PATENT_REVIEW,2026-06-05T00:57:48Z
C1602_CASE_001,sagco-evo,10,9,0,0,6,60,85,PATENT_REVIEW,2026-06-05T00:57:48Z
C1602_CASE_001,sagco-evo,10,9,0,0,6,60,85,PATENT_REVIEW,2026-06-05T00:58:14Z
C1602_CASE_001,sagco-state,10,8,12,0,0,0,30,TECHNICAL_REVIEW,2026-06-05T00:58:19Z
C1602_CASE_001,sagco-evo,10,9,0,0,6,60,40,125,FULL_FLEET,2026-06-05T01:02:30Z
C1602_CASE_001,sagco-state,10,8,12,0,0,0,40,70,PATENT_REVIEW,2026-06-05T01:02:38Z
C1602_CASE_001,sagco-link-bridge,10,11,0,0,2,40,40,103,FULL_FLEET,2026-06-05T01:02:38Z
C1602_CASE_001,sagco-translate,0,21,0,0,14,40,40,115,FULL_FLEET,2026-06-05T01:02:38Z
C1602_CASE_001,sagco-compute-law,10,19,0,0,2,40,40,111,FULL_FLEET,2026-06-05T01:02:38Z
C1602_CASE_001,sagco-governance,0,0,0,0,0,0,40,40,TECHNICAL_REVIEW,2026-06-05T01:02:38Z
C1602_CASE_001,sagco-evo,10,9,0,0,6,60,40,125,FULL_FLEET,2026-06-05T01:04:30Z
