case,story_name,verdict,timestamp
C1602_CASE_001,Purple_Node,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,The_Mansion,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Theater,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Legions_of_Minds,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,The_Score,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Antibody,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,The_Key,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Red_strikes,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Blue_holds,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Purple_resolves,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Distinguished_Engineer,COMPUTABLE,2026-06-05T00:42:50Z
C1602_CASE_001,Purple_Node,COMPUTABLE,2026-06-05T00:51:12Z
-f,Trial_Brick_060,MYTHOLOGY,2026-06-05T00:51:12Z
EXIT_0,Quadrilateral_Collapse,COMPUTABLE,2026-06-05T01:03:54Z
C1602_CASE_001,Coordinate_System,COMPUTABLE,2026-06-05T01:59:18Z
