node_id,device_type,make_model,role,status,parent_node,case,registered
HP_DESKTOP,COMPUTE,HP_Desktop_Windows11_Docker_K8s,Primary_Compute_Node_Docker_Fleet_Kubernetes_Rust,ACTIVE,NONE,C1602_CASE_001,2026-06-05T02:34:37Z
RCA_PROJECTOR,DISPLAY,RCA_Projector_Driver_Patched_HDMI,Command_Wall_Evidence_Display_SAGCO_Live_Dashboard,ACTIVE,HP_DESKTOP,C1602_CASE_001,2026-06-05T02:34:37Z
PI_NODE,EDGE,Raspberry_Pi_Blue_LED_Active,Edge_Compute_Node_Dispatcher_LAN_Bridge,STANDBY,HP_DESKTOP,C1602_CASE_001,2026-06-05T02:34:37Z
OBSIDIAN_VAULT,KNOWLEDGE,Obsidian_DNA_Cell_Lineage_Evidence,Knowledge_Graph_DNA_Cell_Cross_Device_Sync,ACTIVE,NONE,C1602_CASE_001,2026-06-05T02:34:37Z
IPAD_NODE,MOBILE,iPad_iSH_Working_Copy_Dropbox,Secondary_Mobile_Node_iSH_Terminal_Working_Copy,ACTIVE,HP_DESKTOP,C1602_CASE_001,2026-06-05T02:34:37Z
GALAXY_FOLD,MOBILE,Samsung_Galaxy_Z_Fold_Phone_Link_221GB_mounts_as_drive,Mobile_Ingest_Node_Camera_Barcode_Clipboard_Files_Mounts_via_PhoneLink,ACTIVE,HP_DESKTOP,C1602_CASE_001,2026-06-05T02:41:08Z
GENESIS_DISK,STORAGE,256GB_SSD_238.46GB_Windows_BitLocker_EFI_512MB_Recovery_854MB_Old_OS,SAGCO_Origin_OS_Disk_BitLocker_Encrypted_EFI_Bootable_Still_Connected,ANCESTOR_ACTIVE,NONE,C1602_CASE_001,2026-06-05T02:52:31Z
PRIMARY_DISK,STORAGE,Samsung_990_Pro_1TB_931.50GB_Windows_C_BitLocker_SAGCO_OS,Current_SAGCO_OS_Docker_Fleet_Kubernetes_Lineage_Logs_All_Bricks,ACTIVE,GENESIS_DISK,C1602_CASE_001,2026-06-05T02:52:31Z
SAGCO_FACTORY_001,FACTORY_NODE,AMD_Ryzen_4core_15.7GB_RAM_990Pro_1TB,Self_Reporting_Factory_Node_Docker_K8s_SAGCO_Stack,ACTIVE,GENESIS_DISK,C1602_CASE_001,2026-06-05T02:54:40Z
WINDOWS_OS,INFRASTRUCTURE,Windows_11_PowerShell_WSL_Host_Runtime,Department_INFRASTRUCTURE_subordinate_to_SAGCO,ACTIVE,NONE,C1602_CASE_001,2026-06-05T03:32:09Z
