case,agent,status,timestamp
C1602_CASE_001,state-read,START,2026-06-04T20:33:48Z
C1602_CASE_001,state-read,EXIT_0,2026-06-04T20:33:48Z
C1602_CASE_001,portfolio-fuzz,START,2026-06-04T20:33:48Z
C1602_CASE_001,portfolio-fuzz,EXIT_0,2026-06-04T20:33:49Z
C1602_CASE_001,bill-fuzz,START,2026-06-04T20:33:49Z
C1602_CASE_001,bill-fuzz,EXIT_0,2026-06-04T20:33:49Z
C1602_CASE_001,analyze,START,2026-06-04T20:33:49Z
C1602_CASE_001,analyze,EXIT_127,2026-06-04T20:33:49Z
C1602_CASE_001,dashboard,START,2026-06-04T20:33:49Z
C1602_CASE_001,dashboard,EXIT_127,2026-06-04T20:33:49Z
C1602_CASE_001,portfolio-generate,START,2026-06-04T20:33:49Z
C1602_CASE_001,portfolio-generate,EXIT_0,2026-06-04T20:33:49Z
C1602_CASE_001,hallucheck,START,2026-06-04T20:33:49Z
C1602_CASE_001,hallucheck,EXIT_0,2026-06-04T20:33:49Z
C1602_CASE_001,state-read,START,2026-06-04T20:38:57Z
C1602_CASE_001,state-read,EXIT_0,2026-06-04T20:38:57Z
C1602_CASE_001,portfolio-fuzz,START,2026-06-04T20:38:57Z
C1602_CASE_001,portfolio-fuzz,EXIT_0,2026-06-04T20:38:59Z
C1602_CASE_001,bill-fuzz,START,2026-06-04T20:38:59Z
C1602_CASE_001,bill-fuzz,EXIT_0,2026-06-04T20:39:00Z
C1602_CASE_001,analyze,START,2026-06-04T20:39:00Z
C1602_CASE_001,analyze,EXIT_127,2026-06-04T20:39:00Z
C1602_CASE_001,dashboard,START,2026-06-04T20:39:00Z
C1602_CASE_001,dashboard,EXIT_127,2026-06-04T20:39:00Z
C1602_CASE_001,portfolio-generate,START,2026-06-04T20:39:00Z
C1602_CASE_001,portfolio-generate,EXIT_0,2026-06-04T20:39:00Z
C1602_CASE_001,hallucheck,START,2026-06-04T20:39:00Z
C1602_CASE_001,hallucheck,EXIT_0,2026-06-04T20:39:00Z
