case,agent,status,timestamp
C1602_CASE_001,demo,START,2026-06-04T19:43:09Z
C1602_CASE_001,demo,COMPLETE,2026-06-04T19:43:09Z
C1602_CASE_001,mission,START,2026-06-04T19:43:09Z
C1602_CASE_001,mission,COMPLETE,2026-06-04T19:43:09Z
C1602_CASE_001,regression,START,2026-06-04T19:43:09Z
C1602_CASE_001,regression,COMPLETE,2026-06-04T19:43:09Z
C1602_CASE_001,portfolio,START,2026-06-04T19:43:09Z
C1602_CASE_001,portfolio,COMPLETE,2026-06-04T19:43:09Z
C1602_CASE_001,palace,START,2026-06-04T19:43:09Z
C1602_CASE_001,palace,COMPLETE,2026-06-04T19:43:09Z
C1602_CASE_001,pdfscan,START,2026-06-04T19:43:09Z
C1602_CASE_001,pdfscan,COMPLETE,2026-06-04T19:43:09Z
C1602_CASE_001,scheduler,START,2026-06-04T19:43:09Z
C1602_CASE_001,scheduler,COMPLETE,2026-06-04T19:43:09Z
