case,node,status,note,timestamp
C1602_CASE_001,CLOUD_NODE,ACTIVE,state_reader_online,2026-06-04T19:53:29Z
C1602_CASE_001,ERU_NODE,GREEN,health_80_alerts_2,2026-06-04T20:02:37Z
C1602_CASE_001,PORTFOLIO_GEN_NODE,ACTIVE,case_study_generated,2026-06-04T20:14:14Z
C1602_CASE_001,PORTFOLIO_GEN_NODE,ACTIVE,case_study_generated,2026-06-04T20:14:45Z
C1602_CASE_001,EXCEL_WAFER_NODE,ACTIVE,cell_L1_CELL_GREEN,2026-06-04T20:30:15Z
C1602_CASE_001,EXCEL_WAFER_NODE,ACTIVE,cell_A1_CELL_VARIANCE_ALERT,2026-06-04T20:30:15Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_26.67_RED_HALLUCINATION_ALERT,2026-06-04T20:31:44Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_27.02_RED_HALLUCINATION_ALERT,2026-06-04T20:31:58Z
C1602_CASE_001,PORTFOLIO_GIDRA_NODE,ACTIVE,portfolio_fuzz_hits_238,2026-06-04T20:33:49Z
C1602_CASE_001,FUZZ_NODE,ACTIVE,bill_fuzz_hits_17,2026-06-04T20:33:49Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_44.21_RED_HALLUCINATION_ALERT,2026-06-04T20:33:49Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_44.21_RED_HALLUCINATION_ALERT,2026-06-04T20:33:49Z
C1602_CASE_001,RUNTIME_ALPHA_NODE,ACTIVE,alpha_cycle_complete,2026-06-04T20:33:49Z
C1602_CASE_001,PORTFOLIO_GIDRA_NODE,ACTIVE,portfolio_fuzz_hits_755,2026-06-04T20:38:59Z
C1602_CASE_001,FUZZ_NODE,ACTIVE,bill_fuzz_hits_61,2026-06-04T20:39:00Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_44.21_RED_HALLUCINATION_ALERT,2026-06-04T20:39:00Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_44.21_RED_HALLUCINATION_ALERT,2026-06-04T20:39:00Z
C1602_CASE_001,RUNTIME_ALPHA_NODE,ACTIVE,alpha_cycle_complete_2026-06-04T20:39:00Z,2026-06-04T20:39:00Z
C1602_CASE_001,GOVERNANCE_NODE,ACTIVE,governance_ingested_SAGCO_PORTFOLIO_CASE_STUDY,2026-06-04T20:50:34Z
C1602_CASE_001,REPO_MAP_NODE,ACTIVE,repo_captured_Node137_Uplink_Receipt,2026-06-04T20:59:47Z
C1602_CASE_001,REPO_MAP_NODE,ACTIVE,repo_captured_Strategickhaos-DAO_Compliance,2026-06-04T20:59:47Z
C1602_CASE_001,REPO_MAP_NODE,ACTIVE,repo_captured_FORGECORE_01,2026-06-04T20:59:47Z
C1602_CASE_001,REPO_MAP_NODE,ACTIVE,repo_captured_CodexSwarm,2026-06-04T20:59:47Z
C1602_CASE_001,REPO_MAP_NODE,ACTIVE,repo_captured_Strategickhaos_SheetMetalAI,2026-06-04T20:59:47Z
C1602_CASE_001,PUBLIC_BUILD_NODE,ACTIVE,site_built_2026-06-04T20:59:47Z,2026-06-04T20:59:47Z
C1602_CASE_001,PUBLIC_BUILD_NODE,ACTIVE,site_built_2026-06-04T21:00:51Z,2026-06-04T21:00:51Z
C1602_CASE_001,PUBLIC_BUILD_NODE,ACTIVE,site_built_2026-06-04T21:17:06Z,2026-06-04T21:17:06Z
C1602_CASE_001,DEPLOY_NODE,ACTIVE,pages_package_built,2026-06-04T21:17:06Z
C1602_CASE_001,VERIFY_NODE,GREEN,verify_pass_7_fail_0,2026-06-04T21:17:06Z
C1602_CASE_001,PUBLIC_BUILD_NODE,ACTIVE,site_built_2026-06-04T21:22:55Z,2026-06-04T21:22:55Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_100.00_GREEN,2026-06-04T21:22:55Z
C1602_CASE_001,CALL_GUARDIAN_NODE,HIGH_RISK_SCAM_LIKELY,caller_(844) 871-2923_risk_75,2026-06-04T21:23:00Z
C1602_CASE_001,PUBLIC_BUILD_NODE,ACTIVE,site_built_2026-06-04T21:23:04Z,2026-06-04T21:23:04Z
C1602_CASE_001,HALLUCHECK_NODE,ACTIVE,hallucheck_100.00_GREEN,2026-06-04T21:23:04Z
C1602_CASE_001,DEPLOY_NODE,ACTIVE,pages_package_built,2026-06-04T21:23:04Z
C1602_CASE_001,VERIFY_NODE,GREEN,verify_pass_7_fail_0,2026-06-04T21:23:04Z
LINEAGE,CITE_NODE,ACTIVE,brick_001_cited,2026-06-04T21:24:41Z
LINEAGE,CITE_NODE,ACTIVE,brick_002_cited,2026-06-04T21:24:41Z
LINEAGE,CITE_NODE,ACTIVE,brick_003_cited,2026-06-04T21:24:41Z
LINEAGE,CITE_NODE,ACTIVE,brick_004_cited,2026-06-04T21:24:41Z
LINEAGE,CITE_NODE,ACTIVE,brick_005_cited,2026-06-04T21:24:41Z
LINEAGE,CITE_NODE,ACTIVE,brick_006_cited,2026-06-04T21:24:41Z
LINEAGE,CITE_NODE,ACTIVE,brick_007_cited,2026-06-04T21:24:41Z
LINEAGE,CITE_NODE,ACTIVE,brick_008_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_009_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_010_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_011_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_012_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_013_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_014_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_015_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_016_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_017_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_018_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_034_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_035_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_040_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_041_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_042_cited,2026-06-04T21:24:42Z
LINEAGE,CITE_NODE,ACTIVE,brick_043_cited,2026-06-04T21:24:42Z
LINEAGE,PRIORART_NODE,ACTIVE,source_CaseGuard_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_Microsoft_Presidio_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_Google_Cloud_DLP_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_gonitro_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_NIST_PII_standards_recorded,2026-06-04T21:27:51Z
