# SAGCO TOKEN GRAPH EDGES
# STAMP=20260604T173449Z
# FORMAT: TOKEN_A | RELATION | TOKEN_B | STRENGTH

FLAME_DOJO | WEIGHT_PEER | FLAME_DOLLAR | 0.80
FLAME_DOLLAR | WEIGHT_PEER | FLAME_SAGCO | 0.80
FLAME_DOLLAR | WEIGHT_PEER | FLAME_HASH | 0.90
FLAME_DOLLAR | WEIGHT_PEER | FLAME_MKDIR | 0.80
FLAME_HASH | WEIGHT_PEER | FLAME_MKDIR | 0.90
FLAME_HASH | WEIGHT_PEER | FLAME_PORTFOLIO | 0.80
FLAME_MKDIR | WEIGHT_PEER | FLAME_PORTFOLIO | 0.90
FLAME_ECHO | WEIGHT_PEER | FLAME_HASH | 0.80
FLAME_ECHO | WEIGHT_PEER | FLAME_MKDIR | 0.90
FLAME_BRICK | WEIGHT_PEER | FLAME_MKDIR | 0.80
FLAME_BRICK | WEIGHT_PEER | FLAME_ECHO | 0.90
FLAME_BRICK | WEIGHT_PEER | FLAME_PORTFOLIO | 0.90
FLAME_BRICK | WEIGHT_PEER | FLAME_ERROR | 0.80
FLAME_BRICK | WEIGHT_PEER | FLAME_RUST | 0.80
FLAME_ERROR | WEIGHT_PEER | FLAME_WING | 0.90
FLAME_ERROR | WEIGHT_PEER | FLAME_FLAME | 0.90
FLAME_ERROR | WEIGHT_PEER | FLAME_TOKEN | 0.90
FLAME_ERROR | WEIGHT_PEER | FLAME_LEXICON | 0.80
FLAME_ERROR | WEIGHT_PEER | FLAME_SCAFFOLD | 0.80
FLAME_ERROR | WEIGHT_PEER | FLAME_PIPELINE | 0.80
FLAME_RUST | WEIGHT_PEER | FLAME_WING | 0.90
FLAME_RUST | WEIGHT_PEER | FLAME_TOKEN | 0.90
FLAME_RUST | WEIGHT_PEER | FLAME_SCAFFOLD | 0.80
FLAME_DEPLOY | WEIGHT_PEER | FLAME_ERROR | 0.90
FLAME_DEPLOY | WEIGHT_PEER | FLAME_RUST | 0.90
FLAME_DEPLOY | WEIGHT_PEER | FLAME_LEXICON | 0.90
FLAME_DEPLOY | WEIGHT_PEER | FLAME_SCAFFOLD | 0.90
FLAME_DEPLOY | WEIGHT_PEER | FLAME_PIPELINE | 0.90
FLAME_DEPLOY | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_DEPLOY | WEIGHT_PEER | FLAME_FREQUENCY | 0.80
FLAME_DEPLOY | WEIGHT_PEER | FLAME_THESAURUS | 0.80
FLAME_DEPLOY | WEIGHT_PEER | FLAME_DICTIONARY | 0.80
FLAME_FLAME | WEIGHT_PEER | FLAME_RUST | 0.90
FLAME_FLAME | WEIGHT_PEER | FLAME_LEXICON | 0.90
FLAME_FLAME | WEIGHT_PEER | FLAME_SCAFFOLD | 0.90
FLAME_FLAME | WEIGHT_PEER | FLAME_PIPELINE | 0.90
FLAME_FLAME | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_FLAME | WEIGHT_PEER | FLAME_FREQUENCY | 0.80
FLAME_FLAME | WEIGHT_PEER | FLAME_THESAURUS | 0.80
FLAME_TOKEN | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_LEXICON | WEIGHT_PEER | FLAME_RUST | 0.80
FLAME_LEXICON | WEIGHT_PEER | FLAME_WING | 0.90
FLAME_LEXICON | WEIGHT_PEER | FLAME_TOKEN | 0.90
FLAME_LEXICON | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_LEXICON | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_LEXICON | WEIGHT_PEER | FLAME_TRANSISTOR | 0.80
FLAME_LEXICON | WEIGHT_PEER | FLAME_LINEAGE | 0.80
FLAME_SCAFFOLD | WEIGHT_PEER | FLAME_WING | 0.90
FLAME_SCAFFOLD | WEIGHT_PEER | FLAME_TOKEN | 0.90
FLAME_SCAFFOLD | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_SCAFFOLD | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_SCAFFOLD | WEIGHT_PEER | FLAME_TRANSISTOR | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_ERROR | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_RUST | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_WING | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_DEPLOY | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_FLAME | 0.90
